,cluster0,cluster1,cluster2,cluster3,cluster4,cluster5,cluster6,cluster7,cluster8,cluster9,cluster_length0,cluster_length1,cluster_length2,cluster_length3,cluster_length4,cluster_length5,cluster_length6,cluster_length7,cluster_length8,cluster_length9
51,4.0472,4.067,4.0531,4.0453,4.0685,4.0462,4.0521,4.0862,4.0487,4.0762,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
52,4.0472,4.0675,4.0531,4.0453,4.0696,4.0462,4.0531,4.0862,4.054,4.0773,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
53,4.0496,4.0685,4.054,4.0453,4.0711,4.0472,4.0531,4.0862,4.054,4.0794,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
54,4.0506,4.0706,4.0555,4.0453,4.0731,4.0487,4.0531,4.0862,4.0555,4.0799,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
55,4.054,4.0706,4.0565,4.0453,4.0747,4.0496,4.054,4.0862,4.0565,4.0809,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
56,4.055,4.0706,4.059,4.0453,4.0762,4.0506,4.054,4.0899,4.0565,4.0846,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
57,4.0555,4.0721,4.0635,4.0453,4.0762,4.0516,4.054,4.0904,4.0565,4.0851,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
58,4.061,4.0721,4.067,4.0453,4.0783,4.0516,4.055,4.0915,4.0575,4.0862,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
59,4.062,4.0773,4.0685,4.0453,4.0783,4.0516,4.0575,4.0926,4.0575,4.0878,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
60,4.0625,4.0773,4.0696,4.0453,4.0799,4.0531,4.059,4.0969,4.0575,4.0888,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
61,4.0625,4.0794,4.0706,4.0453,4.0809,4.054,4.059,4.0996,4.0585,4.0888,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
62,4.0635,4.0851,4.0721,4.0453,4.0809,4.054,4.06,4.1018,4.059,4.0888,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
63,4.0645,4.0851,4.0721,4.0453,4.082,4.054,4.061,4.1046,4.06,4.0899,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
64,4.0645,4.0888,4.0731,4.0453,4.0835,4.055,4.061,4.1062,4.061,4.0915,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
65,4.065,4.0942,4.0742,4.0453,4.0835,4.0555,4.061,4.1062,4.062,4.0931,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
66,4.066,4.0942,4.0742,4.0453,4.0846,4.0565,4.061,4.1073,4.062,4.0942,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
67,4.067,4.0958,4.0762,4.0453,4.0872,4.0575,4.061,4.109,4.0635,4.0942,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
