,cluster0,cluster1,cluster2,cluster3,cluster4,cluster5,cluster6,cluster7,cluster8,cluster9,cluster_length0,cluster_length1,cluster_length2,cluster_length3,cluster_length4,cluster_length5,cluster_length6,cluster_length7,cluster_length8,cluster_length9
87,3.0511,3.1238,-1,3.0521,3.1397,3.0429,3.2111,3.0804,3.1073,3.0555,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
88,3.0526,3.1244,-1,3.0526,3.1421,3.0434,3.2197,3.0809,3.1079,3.0555,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
89,3.0535,3.1284,-1,3.0535,3.1469,3.0434,3.2233,3.0814,3.1085,3.0565,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
90,3.0545,3.1308,-1,3.0535,3.1506,3.0443,3.224,3.082,3.1118,3.0565,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
91,3.0555,3.1331,-1,3.0535,3.1524,3.0453,3.2248,3.083,3.1135,3.0565,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
92,3.0555,3.1373,-1,3.0545,3.1543,3.0453,3.2277,3.0835,3.1141,3.0575,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
93,3.056,3.1397,-1,3.055,3.1549,3.0453,3.2314,3.0835,3.1146,3.0575,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
94,3.056,3.1397,-1,3.056,3.1555,3.0453,3.2426,3.0851,3.1146,3.058,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
95,3.056,3.1403,-1,3.0575,3.1618,3.0458,3.2457,3.0862,3.1163,3.058,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
96,3.056,3.1433,-1,3.058,3.1618,3.0458,3.2457,3.0872,3.118,3.0585,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
97,3.0565,3.1451,-1,3.0585,3.1624,3.0467,3.2464,3.0894,3.1186,3.0585,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
98,3.0565,3.1457,-1,3.0585,3.1637,3.0477,3.2487,3.0899,3.1198,3.059,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
99,3.0575,3.1463,-1,3.059,3.1675,3.0477,3.2596,3.0904,3.1215,3.059,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
100,3.058,3.1506,-1,3.0605,3.1681,3.0491,3.2708,3.0904,3.1221,3.0605,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
101,3.0595,3.1518,-1,3.0605,3.1694,3.0496,3.2708,3.0904,3.1221,3.061,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
102,3.0605,3.1524,-1,3.0605,3.1726,3.0496,3.2733,3.0904,3.1232,3.061,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
103,3.0605,3.153,-1,3.061,3.1726,3.0506,3.2815,3.091,3.1232,3.062,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
104,3.0645,3.153,-1,3.061,3.1746,3.0521,3.2848,3.0926,3.1232,3.0635,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
105,3.0645,3.1543,-1,3.0615,3.1851,3.0526,3.2857,3.0926,3.1244,3.0635,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
106,3.065,3.1555,-1,3.0615,3.1851,3.0531,3.2857,3.0958,3.1255,3.0635,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
107,3.0665,3.1568,-1,3.062,3.1871,3.0531,3.3002,3.0958,3.1267,3.065,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
108,3.067,3.1599,-1,3.0625,3.1871,3.0535,3.301,3.0969,3.1284,3.0655,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
109,3.067,3.1643,-1,3.0635,3.1898,3.0535,3.3054,3.0991,3.1308,3.0675,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
110,3.0675,3.1656,-1,3.064,3.1904,3.0535,3.317,3.0996,3.1319,3.0701,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
111,3.068,3.1726,-1,3.064,3.1986,3.0535,3.3233,3.1007,3.1325,3.0701,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
112,3.0685,3.1746,-1,3.0645,3.1993,3.0535,3.3261,3.1018,3.1325,3.0706,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
113,3.0685,3.1759,-1,3.0645,3.2013,3.0545,3.3316,3.1029,3.1349,3.0721,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
114,3.0706,3.1791,-1,3.0665,3.202,3.0555,3.3363,3.1029,3.1367,3.0721,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
115,3.0706,3.1818,-1,3.0665,3.2034,3.0555,3.3401,3.1046,3.1373,3.0737,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
116,3.0706,3.1831,-1,3.067,3.2041,3.0575,3.3565,3.1051,3.1379,3.0742,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
117,3.0721,3.1871,-1,3.0675,3.2048,3.058,3.3645,3.1062,3.1403,3.0752,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
118,3.0737,3.1871,-1,3.068,3.209,3.058,3.3675,3.109,3.1439,3.0752,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
