id,data_count_new,cluster_belong_new,data_count_sum
24482,2,1,26735
24483,1,-5,26736
24484,1,-1,26737
24485,1,-1,26738
24486,1,-1,26739
24487,3,5,26742
24488,1,-1,26743
24489,1,-1,26744
24490,1,-1,26745
24491,1,-1,26746
24492,1,-1,26747
24493,1,-1,26748
24494,1,-1,26749
24495,2,9,26751
24496,1,-1,26752
24497,1,-1,26753
24498,1,-1,26754
24499,1,-1,26755
24500,1,-1,26756
24501,2,4,26758
24502,1,-1,26759
24503,1,-1,26760
24504,1,-1,26761
24505,1,-1,26762
24506,3,8,26765
24507,1,-1,26766
24508,1,-1,26767
24509,1,-1,26768
24510,1,-1,26769
24511,1,-1,26770
24512,1,-1,26771
24513,1,-1,26772
24514,1,-1,26773
24515,1,-1,26774
24516,1,-1,26775
24517,1,-1,26776
24518,1,-1,26777
24519,1,-1,26778
24520,1,-1,26779
24521,1,-1,26780
24522,1,-1,26781
24523,1,-1,26782
24524,1,-1,26783
24525,1,-1,26784
24526,1,-1,26785
24527,1,-1,26786
24528,1,-1,26787
24529,1,-1,26788
24530,1,-1,26789
24531,1,-1,26790
24532,1,-1,26791
24533,1,-1,26792
24534,1,-1,26793
24535,1,-1,26794
24536,1,-1,26795
24537,1,-1,26796
24538,1,-1,26797
24539,1,-1,26798
24540,1,-1,26799
24541,1,-1,26800
24542,1,-1,26801
24543,1,-1,26802
24544,1,-1,26803
24545,1,-1,26804
24546,1,-1,26805
24547,1,-1,26806
24548,1,-1,26807
24549,1,-1,26808
24550,1,-1,26809
24551,1,-1,26810
24552,1,-1,26811
24553,1,-1,26812
24554,1,-1,26813
24555,1,-1,26814
24556,1,-1,26815
24557,1,-1,26816
24558,1,-1,26817
24559,1,-1,26818
24560,1,-1,26819
24561,3,5,26822
24562,1,-1,26823
24563,1,-1,26824
24564,1,-1,26825
24565,1,-1,26826
24566,1,-1,26827
24567,1,-1,26828
24568,2,6,26830
24569,1,-1,26831
24570,1,-1,26832
24571,1,-1,26833
24572,1,-1,26834
24573,1,-1,26835
24574,1,-1,26836
24575,1,-1,26837
24576,1,-1,26838
24577,1,-1,26839
24578,1,-1,26840
24579,1,-1,26841
24580,1,-1,26842
24581,1,-1,26843
24582,1,-1,26844
24583,1,-1,26845
24584,1,-1,26846
24585,1,-1,26847
24586,1,-1,26848
24587,1,-1,26849
24588,1,-1,26850
24589,1,-1,26851
24590,1,-1,26852
24591,1,-1,26853
24592,1,-1,26854
24593,1,-1,26855
24594,1,-1,26856
24595,1,-1,26857
24596,1,-1,26858
24597,1,-1,26859
24598,1,-1,26860
24599,2,0,26862
24600,1,-1,26863
24601,1,-1,26864
24602,1,-1,26865
24603,1,-1,26866
24604,1,-1,26867
24605,1,-1,26868
24606,1,-1,26869
24607,1,-1,26870
24608,1,-1,26871
24609,1,-1,26872
24610,1,-1,26873
24611,1,-1,26874
24612,1,-1,26875
24613,1,-1,26876
24614,1,-1,26877
24615,1,-1,26878
24616,1,-1,26879
24617,2,8,26881
24618,1,-1,26882
