id,data_count_new,cluster_belong_new,data_count_sum
1256,1,-5,1994
1257,2,3,1996
1258,1,-5,1997
1259,1,-5,1998
1260,1,-5,1999
1261,2,9,2001
1262,1,-5,2002
1263,2,4,2004
1264,2,7,2006
1265,1,-5,2007
1266,3,4,2010
1267,3,9,2013
1268,2,9,2015
1269,2,2,2017
1270,1,-5,2018
1271,2,9,2020
1272,2,5,2022
1273,1,-5,2023
1274,2,6,2025
1275,2,7,2027
1276,2,3,2029
1277,1,-5,2030
1278,1,-5,2031
1279,1,-5,2032
1280,1,-5,2033
1281,1,-5,2034
1282,2,9,2036
1283,1,-5,2037
1284,1,-5,2038
1285,1,-5,2039
1286,2,2,2041
1287,1,-5,2042
1288,1,-5,2043
1289,2,6,2045
1290,2,6,2047
1291,1,-5,2048
1292,1,-5,2049
1293,1,-5,2050
1294,1,-5,2051
1295,2,4,2053
1296,1,-5,2054
1297,1,-5,2055
1298,3,4,2058
1299,2,4,2060
1300,2,5,2062
1301,1,-5,2063
1302,2,0,2065
1303,1,-5,2066
1304,2,3,2068
1305,2,1,2070
1306,2,2,2072
1307,2,8,2074
1308,2,6,2076
1309,1,-5,2077
1310,1,-5,2078
1311,1,-5,2079
1312,2,5,2081
1313,1,-5,2082
1314,2,0,2084
1315,2,0,2086
1316,1,-5,2087
1317,1,-5,2088
1318,1,-5,2089
1319,1,-5,2090
1320,3,8,2093
1321,1,-5,2094
1322,2,0,2096
1323,1,-5,2097
1324,1,-5,2098
1325,1,-5,2099
1326,1,-5,2100
1327,2,9,2102
1328,2,7,2104
1329,2,6,2106
1330,1,-5,2107
1331,1,-5,2108
1332,2,2,2110
1333,2,5,2112
1334,1,-5,2113
1335,2,1,2115
1336,2,4,2117
1337,2,1,2119
1338,2,4,2121
1339,2,5,2123
1340,2,5,2125
1341,1,-5,2126
1342,1,-5,2127
1343,2,7,2129
1344,2,0,2131
1345,1,-5,2132
1346,2,0,2134
1347,1,-5,2135
1348,1,-5,2136
1349,2,9,2138
1350,2,5,2140
1351,1,-5,2141
1352,1,-5,2142
1353,3,0,2145
1354,2,0,2147
1355,2,1,2149
1356,2,6,2151
1357,1,-5,2152
1358,2,1,2154
1359,2,9,2156
1360,1,-5,2157
1361,1,-5,2158
1362,1,-5,2159
1363,1,-5,2160
1364,1,-5,2161
1365,1,-5,2162
1366,1,-5,2163
1367,1,-5,2164
1368,2,5,2166
1369,1,-5,2167
1370,1,-5,2168
1371,1,-5,2169
1372,1,-5,2170
1373,2,0,2172
1374,2,8,2174
1375,1,-5,2175
1376,2,9,2177
1377,1,-5,2178
1378,2,6,2180
1379,2,3,2182
1380,2,7,2184
1381,1,-5,2185
1382,2,7,2187
1383,2,4,2189
1384,1,-5,2190
1385,2,3,2192
1386,1,-5,2193
1387,1,-5,2194
1388,1,-5,2195
1389,1,-5,2196
1390,1,-5,2197
1391,2,7,2199
1392,1,-5,2200
1393,2,4,2202
1394,2,1,2204
1395,1,-5,2205
1396,1,-5,2206
1397,1,-5,2207
1398,2,3,2209
1399,1,-5,2210
1400,2,6,2212
1401,2,1,2214
1402,2,7,2216
1403,1,-5,2217
1404,2,5,2219
1405,1,-5,2220
1406,2,3,2222
1407,2,5,2224
1408,1,-5,2225
1409,2,4,2227
1410,1,-5,2228
1411,1,-5,2229
1412,2,5,2231
1413,2,6,2233
1414,2,4,2235
1415,1,-5,2236
1416,1,-5,2237
1417,2,7,2239
1418,1,-5,2240
1419,2,6,2242
1420,2,4,2244
1421,1,-5,2245
1422,1,-5,2246
1423,1,-5,2247
1424,1,-5,2248
1425,1,-5,2249
1426,1,-5,2250
1427,1,-5,2251
1428,2,7,2253
1429,2,4,2255
1430,3,5,2258
1431,1,-5,2259
1432,1,-5,2260
1433,1,-5,2261
1434,1,-5,2262
1435,2,6,2264
1436,2,4,2266
1437,1,-5,2267
1438,2,9,2269
1439,2,9,2271
1440,1,-5,2272
1441,2,8,2274
