id,data_count_new,cluster_belong_new,data_count_sum
765,1,-1,1146
766,1,-1,1147
767,1,-1,1148
768,1,-1,1149
769,1,-1,1150
770,1,-1,1151
771,1,-5,1152
772,3,9,1155
773,1,-1,1156
774,1,-5,1157
775,4,8,1161
776,1,-1,1162
777,3,0,1165
778,1,-1,1166
779,1,-1,1167
780,1,-1,1168
781,1,-1,1169
782,1,-1,1170
783,1,-1,1171
784,1,-1,1172
785,1,-1,1173
786,1,-1,1174
787,1,-1,1175
788,1,-1,1176
789,1,-1,1177
790,1,-1,1178
791,3,7,1181
792,1,-1,1182
793,1,-1,1183
794,1,-1,1184
795,1,-1,1185
796,1,-1,1186
797,1,-1,1187
798,1,-1,1188
799,1,-1,1189
800,1,-1,1190
801,1,-1,1191
802,1,-1,1192
803,1,-1,1193
804,1,-1,1194
805,1,-1,1195
806,1,-1,1196
807,1,-1,1197
808,1,-1,1198
809,1,-1,1199
810,1,-1,1200
811,1,-1,1201
812,1,-1,1202
813,1,-1,1203
814,1,-1,1204
815,1,-1,1205
816,3,9,1208
817,3,7,1211
818,1,-5,1212
819,3,0,1215
820,1,-1,1216
821,5,8,1221
822,1,-5,1222
823,3,6,1225
824,1,-1,1226
825,1,-1,1227
826,1,-1,1228
827,1,-1,1229
828,3,1,1232
829,4,7,1236
830,1,-1,1237
831,1,-1,1238
832,1,-1,1239
833,1,-1,1240
834,1,-1,1241
835,1,-1,1242
836,1,-1,1243
837,1,-1,1244
838,1,-1,1245
839,1,-1,1246
840,1,-1,1247
841,1,-1,1248
842,1,-1,1249
843,1,-1,1250
844,1,-1,1251
845,1,-1,1252
846,1,-1,1253
847,1,-1,1254
848,1,-1,1255
849,1,-1,1256
850,1,-1,1257
851,1,-1,1258
852,1,-1,1259
853,1,-1,1260
854,1,-1,1261
855,1,-1,1262
856,1,-1,1263
857,1,-1,1264
858,1,-1,1265
859,1,-1,1266
860,1,-1,1267
861,1,-1,1268
862,1,-1,1269
863,1,-1,1270
864,1,-1,1271
865,4,5,1275
866,1,-5,1276
867,1,-1,1277
868,3,1,1280
869,1,-1,1281
870,1,-1,1282
871,1,-5,1283
872,3,0,1286
873,1,-1,1287
874,1,-1,1288
875,1,-1,1289
876,1,-1,1290
877,1,-1,1291
878,1,-1,1292
879,1,-1,1293
880,1,-1,1294
881,1,-1,1295
882,1,-1,1296
883,3,7,1299
884,1,-1,1300
885,1,-1,1301
886,1,-1,1302
887,1,-1,1303
888,1,-1,1304
889,1,-1,1305
890,1,-1,1306
891,3,7,1309
892,3,9,1312
893,1,-1,1313
894,1,-1,1314
895,1,-1,1315
896,4,3,1319
897,1,-1,1320
898,1,-1,1321
899,1,-1,1322
900,1,-1,1323
901,1,-1,1324
902,1,-5,1325
903,3,5,1328
904,1,-5,1329
905,3,9,1332
906,1,-1,1333
907,1,-1,1334
908,3,3,1337
909,3,3,1340
910,1,-1,1341
911,1,-1,1342
912,1,-1,1343
913,1,-5,1344
914,3,9,1347
915,1,-1,1348
916,1,-1,1349
917,1,-1,1350
918,3,1,1353
919,1,-1,1354
920,1,-1,1355
921,3,9,1358
922,1,-1,1359
923,1,-1,1360
924,1,-1,1361
925,1,-1,1362
926,1,-1,1363
927,1,-1,1364
928,4,1,1368
929,1,-1,1369
930,3,5,1372
931,3,9,1375
932,3,5,1378
933,1,-5,1379
934,1,-1,1380
935,1,-1,1381
936,1,-1,1382
937,1,-1,1383
938,1,-1,1384
939,1,-1,1385
940,4,5,1389
941,1,-1,1390
942,1,-1,1391
